Bedrooms,Type,Price
5,detached house,4250000
5,semi-detached house,4000000
3,flat,3250000
4,end of terrace house,2850000
4,flat,1950000
6,terraced house,1850000
5,detached house,1850000
6,detached house,1840000
3,town house,1750000
6,detached house,1750000
5,semi-detached house,1750000
2,apartment,1750000
5,detached house,1695000
4,end of terrace house,1695000
3,end of terrace house,1695000
6,detached house,1695000
4,terraced house,1650000
4,terraced house,1650000
4,country house,1650000
6,detached house,1600000
7,detached house,1600000
4,terraced house,1595000
3,terraced house,1500000
5,town house,1500000
5,detached house,1500000
3,apartment,1500000
5,flat,1500000
5,character property,1500000
4,semi-detached house,1500000
4,semi-detached house,1465000
5,terraced house,1400000
5,country house,1395000
6,detached house,1350000
2,duplex,1350000
2,ground floor flat,1325000
4,end of terrace house,1325000
4,semi-detached house,1300000
4,terraced house,1300000
2,apartment,1299950
5,semi-detached house,1295000
3,apartment,1250000
5,detached house,1250000
4,town house,1250000
4,terraced house,1250000
4,semi-detached house,1250000
3,apartment,1250000
4,terraced house,1250000
4,terraced house,1250000
3,semi-detached house,1250000
5,semi-detached house,1225000
4,detached house,1200000
5,terraced house,1200000
4,terraced house,1200000
6,terraced house,1200000
5,detached house,1200000
3,terraced house,1195000
3,end of terrace house,1190000
4,semi-detached house,1175000
4,end of terrace house,1150000
3,semi-detached house,1150000
4,town house,1150000
4,terraced house,1150000
4,semi-detached house,1150000
5,country house,1150000
5,end of terrace house,1150000
4,detached house,1150000
5,detached house,1100000
3,flat,1100000
4,detached house,1100000
4,semi-detached house,1100000
4,terraced house,1100000
3,flat,1100000
4,terraced house,1100000
3,maisonette,1100000
4,terraced house,1100000
3,apartment,1100000
2,flat,1095000
4,mews house,1095000
5,detached house,1095000
3,maisonette,1078000
4,terraced house,1075000
2,apartment,1055000
2,flat,1050000
4,detached house,1050000
5,detached house,1050000
4,terraced house,1050000
3,terraced house,1050000
3,detached house,1025000
5,detached house,1000000
3,detached house,1000000
4,terraced house,1000000
3,flat,1000000
3,semi-detached house,1000000
4,detached house,1000000
2,end of terrace house,1000000
5,end of terrace house,1000000
4,town house,1000000
5,semi-detached house,1000000
3,end of terrace house,1000000
4,terraced house,1000000
2,ground floor flat,995000
5,terraced house,980000
4,apartment,980000
6,semi-detached house,975000
4,semi-detached house,975000
3,flat,975000
6,detached house,970000
4,terraced house,965000
4,terraced house,960000
5,detached house,950000
5,detached house,950000
3,town house,950000
4,detached house,950000
4,semi-detached house,950000
5,detached house,950000
5,detached house,950000
4,detached house,950000
5,terraced house,950000
5,detached house,950000
4,terraced house,947500
2,detached house,925000
2,flat,925000
2,ground floor maisonette,925000
2,apartment,925000
4,detached house,925000
3,terraced house,925000
3,detached house,915000
2,ground floor flat,900000
5,end of terrace house,900000
3,semi-detached house,900000
2,apartment,900000
5,detached house,900000
4,detached house,900000
2,detached house,900000
2,apartment,900000
4,detached house,900000
5,detached house,900000
5,semi-detached house,900000
3,terraced house,900000
4,detached house,900000
4,detached house,900000
5,detached house,900000
2,ground floor flat,900000
2,flat,900000
2,apartment,900000
5,detached house,900000
2,terraced house,900000
2,apartment,900000
3,end of terrace house,900000
4,detached house,900000
2,apartment,899950
3,terraced house,899950
6,detached bungalow,895000
5,detached house,895000
4,semi-detached house,895000
3,maisonette,895000
3,semi-detached house,895000
6,detached house,895000
4,detached house,889900
4,detached house,875000
4,detached house,875000
4,detached bungalow,875000
4,detached house,875000
4,semi-detached house,875000
4,semi-detached house,875000
3,semi-detached house,875000
3,detached house,875000
3,semi-detached house,875000
3,maisonette,875000
6,semi-detached house,875000
2,apartment,875000
5,detached house,875000
3,terraced house,870000
6,detached house,870000
2,flat,869500
5,detached house,865000
4,terraced house,860000
5,detached house,850000
3,ground floor flat,850000
5,detached bungalow,850000
3,flat,850000
4,semi-detached house,850000
4,apartment,850000
3,end of terrace house,850000
4,end of terrace house,850000
4,semi-detached house,850000
2,flat,850000
5,detached house,850000
3,ground floor maisonette,850000
4,semi-detached house,850000
3,terraced house,850000
5,semi-detached house,850000
4,terraced house,850000
4,terraced house,850000
4,detached house,850000
4,semi-detached house,850000
2,end of terrace house,850000
4,terraced house,850000
3,semi-detached house,850000
4,semi-detached house,850000
4,semi-detached house,850000
4,semi-detached house,849995
3,terraced house,845000
4,detached bungalow,835000
4,detached house,835000
4,semi-detached house,830000
3,terraced house,830000
3,terraced house,830000
4,terraced house,829950
3,semi-detached house,825000
4,terraced house,825000
5,terraced house,825000
2,ground floor flat,825000
4,terraced house,825000
2,apartment,825000
4,semi-detached house,825000
3,detached bungalow,825000
5,detached house,820000
2,apartment,815000
4,semi-detached house,815000
4,semi-detached house,800000
4,detached house,800000
3,terraced house,800000
3,terraced house,800000
3,terraced house,800000
4,detached house,800000
2,ground floor flat,800000
3,maisonette,800000
4,detached house,800000
2,flat,800000
2,flat,800000
5,semi-detached house,800000
4,terraced house,800000
5,detached house,800000
4,detached bungalow,800000
6,semi-detached house,800000
4,terraced house,800000
2,flat,800000
2,maisonette,800000
4,semi-detached house,800000
6,semi-detached house,800000
3,terraced house,800000
4,terraced house,800000
5,detached house,800000
4,semi-detached house,800000
2,terraced house,800000
4,terraced house,800000
6,detached house,800000
4,semi-detached house,800000
3,flat,800000
3,terraced house,800000
4,semi-detached house,800000
2,apartment,800000
5,detached house,800000
4,semi-detached house,800000
3,flat,800000
4,semi-detached house,800000
4,detached house,799950
2,apartment,799950
2,flat,799950
3,town house,799950
4,detached house,799950
4,terraced house,799000
4,terraced house,799000
2,maisonette,799000
4,detached house,795000
1,apartment,795000
2,apartment,795000
4,detached house,795000
4,semi-detached house,795000
4,detached house,790000
3,ground floor flat,790000
4,terraced house,789000
2,apartment,785000
3,duplex,785000
2,duplex,785000
4,detached house,785000
4,semi-detached house,775000
2,apartment,775000
4,terraced house,775000
4,semi-detached house,775000
4,terraced house,775000
4,detached house,770000
2,apartment,769995
5,semi-detached house,760000
4,detached bungalow,760000
3,link detached house,759950
3,detached bungalow,755000
3,ground floor flat,750000
4,triplex,750000
4,detached house,750000
2,ground floor flat,750000
4,semi-detached house,750000
2,apartment,750000
2,apartment,750000
3,apartment,750000
2,apartment,750000
4,terraced house,750000
4,detached house,750000
4,detached house,750000
3,apartment,750000
2,apartment,750000
4,terraced house,750000
4,detached house,750000
4,detached house,750000
4,detached house,750000
6,detached house,750000
3,terraced house,750000
4,semi-detached house,750000
2,flat,750000
2,flat,750000
3,terraced house,750000
4,semi-detached house,750000
2,flat,750000
5,detached house,750000
5,detached bungalow,750000
3,terraced house,750000
3,duplex,749999
3,detached house,749500
6,semi-detached house,740000
5,detached bungalow,750000
3,terraced house,750000
3,duplex,749999
3,detached house,749500
6,semi-detached house,740000
4,detached house,740000
3,end of terrace house,735000
3,flat,735000
3,semi-detached house,730000
2,maisonette,730000
3,terraced house,725000
3,semi-detached house,725000
2,maisonette,725000
3,apartment,725000
4,semi-detached house,725000
3,detached house,725000
3,terraced house,725000
3,detached house,725000
3,detached house,725000
1,apartment,725000
4,semi-detached house,725000
3,detached house,725000
3,terraced house,725000
3,detached house,725000
3,detached house,725000
1,apartment,725000
3,detached house,725000
3,penthouse,725000
3,maisonette,720000
3,semi-detached house,715000
2,flat,700000
2,apartment,700000
3,semi-detached house,700000
3,town house,700000
4,detached house,700000
4,detached house,700000
6,terraced house,700000
3,semi-detached house,700000
3,semi-detached house,700000
4,detached house,700000
2,ground floor flat,700000
3,apartment,700000
4,semi-detached house,700000
3,detached bungalow,700000
2,apartment,700000
5,detached house,700000
4,terraced house,700000
3,end of terrace house,700000
4,maisonette,700000
4,flat,700000
4,end of terrace house,700000
3,flat,700000
4,detached house,700000
5,semi-detached house,700000
2,ground floor flat,700000
6,detached house,700000
5,detached house,700000
5,end of terrace house,700000
2,flat,700000
4,terraced house,700000
2,ground floor flat,700000
3,terraced house,700000
6,detached house,700000
5,detached house,700000
5,end of terrace house,700000
2,flat,700000
4,terraced house,700000
4,terraced house,700000
4,semi-detached house,700000
4,semi-detached house,700000
4,detached house,699950
5,semi-detached house,699950
4,detached house,699000
2,apartment,695000
4,detached house,695000
4,detached house,695000
3,ground floor flat,685950
5,semi-detached house,685000
4,semi-detached house,685000
2,ground floor flat,685000
2,apartment,695000
4,detached house,695000
4,detached house,695000
3,ground floor flat,685950
5,semi-detached house,685000
4,semi-detached house,685000
2,ground floor flat,685000
3,link detached house,685000
2,apartment,685000
4,detached house,685000
2,apartment,685000
5,semi-detached house,685000
2,maisonette,680000
5,detached house,675950
2,apartment,675000
2,ground floor flat,675000
5,detached house,675000
3,character property,675000
3,ground floor flat,675000
4,terraced house,675000
1,flat,675000
5,detached house,675000
3,semi-detached house,675000
4,detached house,675000
3,end of terrace house,675000
4,semi-detached house,675000
3,town house,675000
2,penthouse,675000
4,semi-detached house,675000
3,terraced house,675000
2,apartment,675000
2,apartment,675000
3,semi-detached house,675000
2,flat,675000
3,semi-detached house,675000
2,apartment,675000
2,apartment,675000
4,semi-detached house,675000
4,detached house,675000
5,semi-detached house,675000
4,semi-detached house,672999
2,penthouse,670000
4,link detached house,665000
2,maisonette,665000
5,terraced house,665000
4,end of terrace house,660000
3,detached bungalow,660000
5,semi-detached house,660000
3,terraced house,659000
3,flat,655000
2,maisonette,665000
5,terraced house,665000
4,end of terrace house,660000
3,detached bungalow,660000
5,semi-detached house,660000
3,terraced house,659000
3,flat,655000
4,detached house,650000
3,town house,650000
2,apartment,650000
2,flat,650000
3,terraced house,650000
3,terraced house,650000
4,detached house,650000
5,semi-detached house,650000
4,terraced house,650000
5,semi-detached house,650000
4,semi-detached house,650000
4,detached house,650000
4,semi-detached house,650000
4,detached house,650000
5,semi-detached house,650000
4,terraced house,650000
5,semi-detached house,650000
4,semi-detached house,650000
4,detached house,650000
3,flat,650000
4,semi-detached house,650000
3,apartment,650000
5,detached bungalow,650000
4,terraced house,650000
5,end of terrace house,650000
3,semi-detached house,650000
2,flat,650000
3,terraced house,650000
3,semi-detached house,650000
4,end of terrace house,650000
2,apartment,650000
4,semi-detached house,650000
3,end of terrace house,650000
6,end of terrace house,650000
3,semi-detached house,650000
2,flat,650000
2,apartment,650000
1,apartment,650000
3,terraced house,650000
3,detached house,650000
4,detached bungalow,650000
2,apartment,650000
3,apartment,650000
4,semi-detached house,650000
2,end of terrace house,650000
3,flat,650000
4,detached house,650000
4,maisonette,650000
4,semi-detached house,650000
3,detached house,650000
4,town house,650000
4,detached house,650000
3,end of terrace house,650000
4,detached house,650000
3,terraced house,650000
2,flat,649950
4,terraced house,649000
3,apartment,647000
2,duplex,645000
2,semi-detached house,645000
2,flat,645000
3,semi-detached house,645000
3,end of terrace house,645000
2,flat,645000
3,terraced house,640000
3,semi-detached house,640000
4,end of terrace house,640000
4,semi-detached house,635000
2,flat,635000
4,semi-detached house,635000
3,terraced house,635000
3,semi-detached house,635000
4,semi-detached house,635000
4,detached house,635000
2,penthouse,630000
4,detached house,630000
2,ground floor maisonette,630000
3,flat,630000
3,semi-detached house,630000
2,apartment,630000
2,ground floor flat,630000
2,apartment,629950
3,end of terrace house,625950
5,terraced house,625000
4,semi-detached house,625000
5,semi-detached house,625000
2,flat,625000
4,semi-detached house,625000
6,end of terrace house,625000
3,terraced house,625000
2,apartment,625000
4,end of terrace house,625000
4,link detached house,625000
5,semi-detached house,625000
2,flat,625000
4,semi-detached house,625000
6,end of terrace house,625000
3,terraced house,625000
2,apartment,625000
4,end of terrace house,625000
4,link detached house,625000
4,detached house,625000
3,semi-detached house,625000
2,apartment,625000
3,duplex,625000
2,apartment,625000
3,apartment,625000
4,semi-detached house,625000
3,terraced house,625000
3,semi-detached house,625000
5,semi-detached house,625000
2,apartment,625000
2,apartment,620000
4,bungalow,620000
4,detached house,620000
3,ground floor maisonette,617000
2,ground floor maisonette,615000
3,penthouse,615000
5,semi-detached house,615000
4,semi-detached house,615000
6,semi-detached house,610000
3,semi-detached house,610000
3,semi-detached house,610000
3,terraced house,610000
4,terraced house,605000
2,apartment,600000
2,flat,600000
5,semi-detached house,600000
5,terraced house,600000
2,flat,600000
5,terraced house,600000
2,flat,600000
2,apartment,600000
2,apartment,600000
2,maisonette,600000
2,apartment,600000
3,semi-detached house,600000
3,semi-detached house,600000
4,semi-detached house,600000
3,end of terrace house,600000
2,flat,600000
2,flat,600000
2,flat,600000
2,apartment,600000
3,semi-detached house,600000
2,flat,600000
3,semi-detached house,600000
4,semi-detached house,600000
3,end of terrace house,600000
2,flat,600000
2,flat,600000
5,terraced house,600000
3,flat,600000
2,apartment,600000
2,apartment,600000
4,detached house,600000
3,semi-detached house,600000
3,semi-detached house,600000
2,apartment,600000
2,flat,600000
4,terraced house,600000
2,flat,600000
2,end of terrace house,600000
4,detached house,600000
3,semi-detached house,600000
3,semi-detached house,600000
2,apartment,600000
2,flat,600000
2,flat,600000
2,end of terrace house,600000
4,terraced house,600000
2,terraced house,600000
4,semi-detached house,600000
2,apartment,600000
5,terraced house,600000
3,semi-detached house,600000
1,flat,600000
6,detached house,600000
3,semi-detached house,600000
2,apartment,600000
3,flat,600000
3,semi-detached house,600000
4,detached bungalow,600000
5,detached house,600000
4,semi-detached house,600000
3,terraced house,600000
2,end of terrace house,599995
2,end of terrace house,599995
3,detached house,599995
6,semi-detached house,599950
2,apartment,599950
3,semi-detached house,595000
2,apartment,595000
4,semi-detached house,595000
3,end of terrace house,595000
1,flat,595000
4,detached house,595000
1,flat,595000
5,semi-detached house,590000
2,apartment,590000
3,semi-detached house,585000
3,terraced house,585000
3,semi-detached house,585000
2,apartment,585000
2,flat,585000
2,flat,585000
4,detached house,585000
3,end of terrace house,585000
3,semi-detached house,585000
5,semi-detached house,585000
2,duplex,585000
2,apartment,585000
2,flat,585000
2,terraced house,585000
4,flat,585000
2,terraced house,580000
2,apartment,580000
3,semi-detached house,580000
4,semi-detached house,580000
3,flat,580000
2,flat,580000
3,semi-detached house,580000
4,detached house,580000
2,terraced house,580000
2,apartment,580000
3,semi-detached house,580000
4,semi-detached house,580000
3,flat,580000
2,flat,580000
3,semi-detached house,580000
4,detached house,580000
3,apartment,580000
4,detached house,580000
4,end of terrace house,579000
3,terraced house,579000
2,flat,575000
2,apartment,575000
4,detached house,575000
4,semi-detached house,575000
2,flat,575000
3,apartment,575000
3,semi-detached house,575000
4,terraced house,575000
3,detached house,575000
2,terraced house,575000
1,ground floor flat,575000
4,detached house,575000
6,detached house,575000
3,semi-detached house,575000
2,maisonette,575000
3,ground floor flat,575000
2,apartment,575000
2,detached bungalow,575000
5,town house,575000
4,semi-detached house,575000
2,flat,575000
4,semi-detached house,575000
4,terraced house,575000
3,detached bungalow,575000
2,semi-detached bungalow,575000
4,detached house,575000
3,semi-detached house,575000
4,end of terrace house,575000
4,semi-detached house,575000
4,detached house,575000
4,semi-detached house,575000
2,apartment,575000
4,terraced house,575000
2,maisonette,575000
1,ground floor flat,575000
3,flat,575000
3,flat,575000
3,detached house,575000
2,apartment,575000
4,terraced house,575000
2,maisonette,575000
1,ground floor flat,575000
3,flat,575000
3,flat,575000
3,detached house,575000
1,apartment,575000
2,apartment,575000
2,terraced house,575000
3,semi-detached house,575000
4,detached house,575000
2,flat,573000
4,semi-detached house,570000
2,flat,570000
3,bungalow,570000
2,apartment,570000
3,detached bungalow,569950
5,link detached house,565000
1,flat,565000
2,flat,560000
4,end of terrace house,560000
4,semi-detached house,560000
3,semi-detached house,560000
2,apartment,560000
4,terraced house,560000
3,maisonette,559000
4,town house,555000
2,flat,555000
2,flat,550000
3,semi-detached house,560000
2,apartment,560000
4,terraced house,560000
3,maisonette,559000
4,town house,555000
2,flat,555000
2,flat,550000
2,apartment,550000
2,apartment,550000
2,semi-detached house,550000
2,flat,550000
4,end of terrace house,550000
2,ground floor flat,550000
4,semi-detached house,550000
4,semi-detached house,550000
3,semi-detached house,550000
2,apartment,550000
2,flat,550000
3,flat,550000
3,terraced house,550000
2,flat,550000
4,terraced house,550000
3,terraced house,550000
2,flat,550000
1,flat,550000
2,flat,550000
3,semi-detached house,550000
3,link detached house,550000
3,terraced house,550000
4,detached house,550000
2,flat,550000
1,flat,550000
2,flat,550000
3,semi-detached house,550000
3,terraced house,550000
4,detached house,550000
3,semi-detached house,550000
3,terraced house,550000
3,link detached house,550000
3,semi-detached house,550000
2,apartment,550000
2,apartment,550000
3,terraced house,550000
2,apartment,550000
5,semi-detached house,550000
2,flat,550000
2,apartment,550000
3,semi-detached house,550000
2,end of terrace house,550000
2,apartment,550000
2,apartment,550000
2,flat,550000
1,apartment,550000
3,detached bungalow,550000
4,end of terrace house,550000
2,bungalow,550000
4,detached house,550000
3,terraced house,550000
3,flat,550000
2,flat,550000
2,flat,550000
2,flat,550000
4,end of terrace house,550000
3,detached house,550000
4,semi-detached house,550000
3,semi-detached house,550000
2,flat,550000
4,detached house,550000
2,flat,550000
2,flat,550000
3,detached house,550000
4,semi-detached house,550000
3,semi-detached house,550000
2,flat,550000
4,detached house,550000
2,flat,550000
2,flat,550000
3,detached house,550000
2,apartment,550000
2,ground floor flat,550000
1,flat,550000
2,flat,550000
4,detached house,550000
2,maisonette,550000
1,apartment,550000
4,semi-detached house,550000
3,apartment,550000
2,flat,550000
4,terraced house,550000
3,terraced house,550000
2,maisonette,550000
1,apartment,550000
4,semi-detached house,550000
3,apartment,550000
4,terraced house,550000
2,flat,550000
3,terraced house,550000
3,semi-detached house,550000
4,terraced house,550000
3,semi-detached house,550000
2,flat,549950
5,maisonette,549950
4,detached house,549950
3,link detached house,545000
3,detached bungalow,544950
5,detached bungalow,540000
4,terraced house,540000
2,maisonette,540000
5,terraced house,540000
3,terraced house,540000
3,link detached house,545000
3,detached bungalow,544950
5,detached bungalow,540000
4,terraced house,540000
2,maisonette,540000
5,terraced house,540000
3,terraced house,540000
2,apartment,540000
2,flat,540000
2,flat,539000
2,flat,538500
2,apartment,535000
3,terraced house,535000
3,apartment,535000
2,flat,535000
4,terraced house,535000
2,apartment,535000
3,terraced house,535000
3,apartment,535000
3,semi-detached house,530000
4,detached house,530000
1,apartment,525000
3,town house,525000
3,apartment,525000
3,semi-detached house,525000
4,terraced house,525000
2,apartment,525000
2,end of terrace house,525000
2,mews house,525000
1,apartment,525000
3,apartment,525000
3,semi-detached house,525000
4,terraced house,525000
2,apartment,525000
2,end of terrace house,525000
2,mews house,525000
1,apartment,525000
4,semi-detached house,525000
3,terraced house,525000
3,terraced house,525000
3,semi-detached house,525000
3,flat,525000
3,semi-detached house,525000
3,maisonette,525000
3,ground floor maisonette,525000
2,apartment,525000
2,flat,525000
3,end of terrace house,525000
3,terraced house,525000
3,terraced house,525000
4,semi-detached house,525000
1,ground floor flat,525000
2,apartment,525000
3,terraced house,525000
2,apartment,525000
2,flat,525000
3,flat,525000
3,terraced house,525000
2,apartment,525000
4,apartment,525000
